RunTag,FeatureConfig,Split,FeaturePath,MaskPath,Samples,ExpectedSamples,Channels,ExpectedChannels,Height,Width,Xdtype,Ydtype,XFinite,YBinary,MaskPositivePixels,XMin,XMax,XMean,XStd
101840,ConfigB,Train,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TrainFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TrainMasks.npy,2463,2463,9,9,200,200,float32,uint8,True,True,3131571,-8.0,8.0,2.844395160675049,3.6507253646850586
101840,ConfigB,Validation,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/ValidationFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/ValidationMasks.npy,528,528,9,9,200,200,float32,uint8,True,True,655526,-8.0,8.0,2.854058027267456,3.648179292678833
101840,ConfigB,Test,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TestFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TestMasks.npy,528,528,9,9,200,200,float32,uint8,True,True,722109,-8.0,8.0,2.8643221855163574,3.6512937545776367
