RunTag,FeatureConfig,Split,Samples,OriginalSplitSamples,Channels,Height,Width,FeaturePath,MaskPath,FeatureName,ClipValue,AnyNonFinite,MaskPositivePixels
101840,ConfigB,Train,2463,2463,9,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TrainFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TrainMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11",8.0,False,3131571
101840,ConfigB,Validation,528,528,9,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/ValidationFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/ValidationMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11",8.0,False,655526
101840,ConfigB,Test,528,528,9,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TestFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101840/ConfigB/Features/TestMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11",8.0,False,722109
