SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.3,0.02222864143550396,0.9998804330825806,756,874,704,170,52,39074,0.8638036810651512,0.7602591795245581,0.8054919910692311,0.9312169313079142
365a3850-e629-476a-83cf-dc4ef3355295,0.3,0.015284889377653599,0.9923011064529419,96,670,48,622,48,39282,0.12532637189905174,0.06685236898767079,0.07164179243038538,0.5000000052083333
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.3,0.018014218658208847,0.9999885559082031,560,731,413,318,147,39122,0.6398140978777582,0.47038724433896667,0.564979480759262,0.73750000046875
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.3,0.006677454337477684,0.9999635219573975,731,273,251,22,480,39247,0.500000000498008,0.33333333421868083,0.9194139197091066,0.3433652539762445
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.3,0.016228849068284035,0.9999960660934448,531,665,493,172,38,39297,0.8244147158658739,0.7012802280209385,0.7413533838475889,0.9284369116225294
04547b46-ef41-4254-b553-a11f16acbd40,0.3,0.02055058255791664,0.9967148303985596,997,892,591,301,406,38702,0.6257278985570525,0.4553158709897412,0.6625560541899596,0.592778335413462
b9df4252-d935-4884-a61e-84e58a75769b,0.3,0.02642081305384636,0.999992847442627,2622,1122,1026,96,1596,37282,0.548076923197629,0.3774834439376441,0.9144385027500548,0.3913043480582364
a833f58b-77e2-4984-9119-f3437717bb17,0.3,0.022444341331720352,0.9999567270278931,428,944,419,525,9,39047,0.6107871722953446,0.43966421884610263,0.4438559327925255,0.9789719626659533
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.3,0.01782907545566559,0.9995348453521729,789,732,568,164,221,39047,0.746877054735781,0.5960125922392313,0.7759562844590762,0.7198986061851729
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.3,0.012762840837240219,0.9999550580978394,254,511,254,257,0,39489,0.6640522880208467,0.4970645802405781,0.4970645802405781,1.0
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.3,0.05808018893003464,0.9992984533309937,624,2465,527,1938,97,37438,0.34121074802809626,0.20569867322181942,0.2137931037672239,0.8445512823003986
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.3,0.04026395082473755,0.9998347759246826,1623,1653,1487,166,136,38211,0.9078144078425475,0.8311906093732864,0.8995765275864631,0.9162045595094241
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.3,0.021543772891163826,0.999996542930603,1150,878,749,129,401,38721,0.738658777249182,0.5856137610745787,0.853075171010165,0.6513043481293005
5da1b659-166e-4285-843d-f71c29baa660,0.3,0.03490358591079712,0.9994932413101196,636,1451,635,816,1,38548,0.6085289891669723,0.4373278240789753,0.4376292216143148,0.998427672958447
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.3,0.02119816280901432,0.999984860420227,413,887,396,491,17,39096,0.6092307695313609,0.4380530979667554,0.44644870411899806,0.9588377724967608
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.3,0.04188407212495804,0.9999788999557495,1319,1729,1251,478,68,38203,0.8208661417910544,0.6961602672809347,0.7235396184363565,0.9484457923059547
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.3,0.06605055928230286,0.9996494054794312,1206,2759,1167,1592,39,37202,0.5886506936724715,0.4170836313734512,0.42297934054984443,0.9676616915691031
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.3,0.03288746625185013,0.9999527931213379,1101,1349,884,465,217,38434,0.7216326531748439,0.5644955302908713,0.6553002226424757,0.8029064488620286
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.3,0.027150174602866173,0.9999289512634277,1375,1112,1041,71,334,38554,0.8371531966879159,0.7199170126418278,0.9361510791941088,0.7570909092675703
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.3,0.061949409544467926,0.9997168183326721,2281,2550,1981,569,300,37150,0.8201200579962491,0.6950877194052324,0.7768627451855441,0.8684787374535385
67756e67-f943-4f44-a748-c0ac2d86403e,0.3,0.04119154438376427,0.999834418296814,3059,1765,1651,114,1408,36827,0.6844941957536288,0.5203277656727615,0.9354107649091157,0.5397188625237925
789c743e-c04a-4aad-b156-67f965c09105,0.3,0.03334625065326691,0.9998844861984253,967,1368,967,401,0,38632,0.8282655246988158,0.706871345243515,0.706871345243515,1.0
7f4bf604-90fe-431f-8812-9496e3ef716a,0.3,0.025993624702095985,0.9990615248680115,625,1081,423,658,202,38717,0.4958968349965434,0.32969602546399374,0.3913043483891726,0.67680000051712
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.3,0.015347798354923725,0.9989533424377441,368,648,253,395,115,39237,0.4980314965570556,0.3315858462233475,0.3904320997061233,0.6875000008491848
