Epoch,TrainLoss,TrainDice,TrainIoU,TrainGlobalDice,TrainGlobalIoU,ValLoss,ValDice,ValIoU,ValGlobalDice,ValGlobalIoU
1,1.0579991895560321,0.17524274185822203,0.11107855787573187,0.1845785417975838,0.11106908413628654,0.9089954125158715,0.2596771555924506,0.1745459729466926,0.2865124187065345,0.1738976382396438
2,0.7051037810742855,0.4487709335297695,0.32093323423757814,0.4674196651016627,0.31527789936345424,0.7825367130113371,0.41523134166544134,0.2901935947099418,0.42680131621433026,0.27898587630779453
3,0.6421464894015294,0.49737077313717215,0.36529066810964955,0.5145336528211929,0.35735009911518495,0.6693475104191087,0.46947929827552853,0.3457444972273978,0.49388521051768103,0.3390361509201201
4,0.6028742109510031,0.5289635319843308,0.39530244816771964,0.5466938226411192,0.38710069630972366,0.6548853873303442,0.4936208912368977,0.3640331748985883,0.5184392583641139,0.36000826932264096
5,0.5806162137199532,0.5447989556146181,0.41198819993190805,0.5634264358766861,0.40399347395672425,0.6509030897057417,0.4869181537492709,0.363526263923356,0.5111092123287645,0.35486265559765423
6,0.5641725688398659,0.5573750609144955,0.4242023644218971,0.5810288714559434,0.42028965822771774,0.6142902428453619,0.5196781296170119,0.38852796173005394,0.5432929184400674,0.3829341744157401
7,0.5502832907118967,0.5687602587141,0.43550224695959455,0.5880823013094532,0.42877430213591106,0.6128586250724215,0.5208468179811131,0.39698485680150264,0.5483393382393953,0.389787016888008
8,0.5324051203810937,0.5825837445142982,0.449309611862356,0.6041546149856665,0.44449887631533597,0.5792657841335643,0.548297280163476,0.41483883469393756,0.5732081919682749,0.4118108961618308
9,0.5185278482831918,0.5944262607077548,0.4612827057581298,0.613115660797853,0.45402225888902686,0.5531521174266483,0.5619028646386031,0.43638387424024666,0.5922888810887481,0.4327031191099774
10,0.5066783116380502,0.6021289141582591,0.46839936147746325,0.6233173169002131,0.4642492823435792,0.5581510403391087,0.564383740677978,0.4351386334182638,0.5926047723853227,0.43085942936666083
11,0.4934635357810305,0.6135380243120546,0.48010639255479365,0.6303249966389464,0.472569144261372,0.5401822828659506,0.5748858002550674,0.4493750923059203,0.6080784102280935,0.4487114309361487
12,0.4883678789891593,0.6170310359448195,0.4835862366410045,0.6355047384881741,0.4787484993190541,0.7381816759253993,0.41899995878338814,0.30337393029846926,0.43399306872125826,0.2853461959483949
13,0.47430496033910036,0.6282076396822155,0.49581499645704186,0.6469256104780482,0.4898756575806961,0.5188830579546365,0.5867828394878994,0.46215028857642954,0.6263837424868887,0.46723449941385875
14,0.46521207513650514,0.6352444967230806,0.5010713934777425,0.6514365905049172,0.4955290680049689,0.519064296488509,0.5905277083317438,0.4642723799880707,0.6242530377525272,0.46625919312690245
15,0.4467980641533028,0.6490344029681926,0.5169003778212861,0.6664373566027634,0.5118471674209872,0.5383511865229318,0.5780389783057299,0.4480241834552902,0.6064904496976824,0.4470230028259032
16,0.4424150152639909,0.6526395649371015,0.5193116953959326,0.6699203494694326,0.515969264163793,0.51733101915681,0.5867251871210156,0.4653715899947918,0.6293566823005676,0.47128792468345526
17,0.4362645623842617,0.6578757126706761,0.5256047853716201,0.6766541686223505,0.5235258499039458,0.697252980010076,0.4656531580469825,0.33986580552476825,0.481351118647691,0.32748726416717877
18,0.42217718267982657,0.6678368003506746,0.5367099246034375,0.6898929915306243,0.5383580241763553,0.5182317087821888,0.5925314616073262,0.4682145488984657,0.6296688155694441,0.4711591815858176
19,0.4107294899544546,0.67832358723337,0.5475953861635614,0.6959663027437863,0.5463178836583317,0.6999794867905703,0.45442179754150636,0.3410680258477276,0.47856171440446016,0.32707978584662534
20,0.4085584328352631,0.6791906725470122,0.5478138708957023,0.6993828491344081,0.548508546617511,0.732375532162912,0.4349838847463781,0.31939946741543035,0.45427499903422414,0.30306927193746425
21,0.3944176229128203,0.6909388977695595,0.5601329103644405,0.7075160261388723,0.5583953539320787,0.5339225178415125,0.5809714222947756,0.45367658759156865,0.6074738056596481,0.44871277463707054
22,0.38805489774261204,0.694954325650613,0.5660540658206522,0.7122068671485433,0.5644966986804426,0.52729892866178,0.5872965668412772,0.45874909311532974,0.6270554999284672,0.4682872128306013
23,0.38191514409014155,0.7005566564182957,0.5709777050470184,0.7167025247177521,0.5683310126232637,0.5023401954183073,0.6048937970490167,0.47923633535251475,0.6350670355287465,0.4773111833315907
24,0.371612080626867,0.7081040801940026,0.5785315832389253,0.7239349376797289,0.5775811008431695,0.5671272626654669,0.5604600109385721,0.43248195912350307,0.5906754702781186,0.43157662626243
25,0.3655742781793142,0.7122564082118598,0.5840989275315365,0.7273996094991635,0.5827990433370526,0.5518062999754241,0.5561775515476862,0.4359916730812102,0.5952613313089717,0.4381380717298298
26,0.3575073355058958,0.7187315070783937,0.5915604859058347,0.7363369784184864,0.5933942490729032,0.647666594747341,0.5117340951480649,0.3823547130732825,0.5353966485144515,0.37675744560406066
27,0.3523093965388351,0.7224338586357507,0.5956265429615394,0.7396902707344913,0.5982260475926972,0.5154549320313063,0.6012942531343662,0.47219599388314015,0.6352639995289572,0.4768385960522926
28,0.34012531039196175,0.7321135688137699,0.6055676067465698,0.7498770152013023,0.6090809912118432,0.5563352755976446,0.5713456988786206,0.44240808351473376,0.5987237461588599,0.43934392488815566
29,0.33942791101123604,0.7323556583277978,0.6068590019720715,0.7496457133297022,0.6090995005585931,0.5590721867752798,0.5669116218094573,0.44287107258357783,0.6012632919644768,0.4426159591160037
30,0.32864849184724415,0.7406299397252597,0.6160392725187076,0.7568910076440155,0.6191170846245119,0.5020117435717222,0.6071124806097059,0.4817146524561174,0.6384774534539743,0.48172509105819644
31,0.32017945053128455,0.7476364989075568,0.6241848523450362,0.7631444433679828,0.6268027984815372,0.5959488941412984,0.5456899372917233,0.4157911831456603,0.5674554939297113,0.4091792351594477
