SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.7,0.01978609710931778,0.9997373223304749,756,754,667,87,89,39157,0.8834437086864612,0.7912218270566763,0.8846153847684146,0.882275132430853
365a3850-e629-476a-83cf-dc4ef3355295,0.7,0.027124004438519478,0.9984421133995056,96,934,90,844,6,39060,0.17475728235460455,0.09574468181303757,0.09635974400818015,0.9375000006510417
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.7,0.015468401834368706,0.9992183446884155,560,578,311,267,249,39173,0.54657293537208,0.37605804186691894,0.5380622845362244,0.555357143651148
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.7,0.016273783519864082,0.9997310042381287,731,598,547,51,184,39218,0.8231753199223663,0.6994884914328792,0.914715719206161,0.748290014024227
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.7,0.01379337813705206,0.9998409748077393,531,532,449,83,82,39386,0.8447789277095211,0.7312703587438594,0.8439849626992764,0.8455743882380896
04547b46-ef41-4254-b553-a11f16acbd40,0.7,0.022602446377277374,0.9934590458869934,997,652,261,391,736,38612,0.31655548858911126,0.18804034640631098,0.4003067493860326,0.26178535680864057
b9df4252-d935-4884-a61e-84e58a75769b,0.7,0.025422468781471252,0.9997250437736511,2622,966,913,53,1709,37325,0.5089186177511376,0.3413084114611931,0.9451345756261547,0.34820747545834957
a833f58b-77e2-4984-9119-f3437717bb17,0.7,0.014626226387917995,0.9998611211776733,428,544,381,163,47,39409,0.7839506175062236,0.6446700513626564,0.7003676476096183,0.8901869161444231
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.7,0.01405382715165615,0.999840259552002,789,507,439,68,350,39143,0.6774691360513355,0.5122520425761353,0.8658777122960992,0.5564005075330792
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.7,0.01897837221622467,0.9997389912605286,254,696,246,450,8,39296,0.5178947373495845,0.3494318191059207,0.3534482767910226,0.9685039371318742
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.7,0.019370272755622864,0.9977071285247803,624,708,481,227,143,39149,0.7222222224307641,0.5652173918152557,0.6793785315263015,0.7708333337005876
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.7,0.025935864076018333,0.9993416666984558,1623,1003,987,16,636,38361,0.751713632996301,0.6021964614995751,0.9840478564466123,0.6081330871176013
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.7,0.019519271329045296,0.9998574256896973,1150,748,694,54,456,38796,0.731296101300687,0.5764119604847077,0.9278074867275301,0.6034782612143667
5da1b659-166e-4285-843d-f71c29baa660,0.7,0.0114961052313447,0.9994441866874695,636,420,238,182,398,39182,0.45075757627769164,0.2909535460990788,0.5666666676984127,0.37421383746192793
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.7,0.016624676063656807,0.9997879862785339,413,621,330,291,83,39296,0.6382978726902341,0.4687500007546165,0.5314009669381627,0.7990314774841852
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.7,0.043687865138053894,0.9990934133529663,1319,1660,1216,444,103,38237,0.816381336080436,0.6897334091379844,0.7325301206430541,0.9219105383457843
