RunTag,FeatureConfig,ModelName,RunId,Split,SampleId,Dice,IoU,Precision,Recall,GTPixels,PredPixels,AreaRatio,PredictedPositiveFraction,IsSaturatedPrediction,IsNearEmptyPrediction,IsExtremeAreaRatio
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,67756e67-f943-4f44-a748-c0ac2d86403e,0.6661237785696001,0.4993894995423109,0.8828926066471168,0.5348152992694295,3059,1853,,0.046325,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,789c743e-c04a-4aad-b156-67f965c09105,0.8812154696679487,0.7876543211624244,0.7941908715400905,0.9896587383767748,967,1205,,0.030125,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,7f4bf604-90fe-431f-8812-9496e3ef716a,0.4173106650561741,0.2636718757190704,0.4035874448376869,0.4320000009088,625,669,,0.016725,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,d29a55fc-23bc-4927-a41e-11365cf2b68a,2.71739129696361e-09,2.71739129696361e-09,1.0,2.71739129696361e-09,368,0,,0.0,False,True,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,c18da7a8-eed2-49db-b6d8-9d0bcb91013b,8.605851971939884e-10,8.605851971939884e-10,1.0,8.605851971939884e-10,1162,0,,0.0,False,True,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,3986fd15-5303-4fa6-930b-7f2c8e31daea,0.7641270734427531,0.6182893541318065,0.6877530365952667,0.8595825427833128,1581,1976,,0.0494,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.6070615034914462,0.4358135733344744,0.9232101617071536,0.4522058825078603,3536,1732,,0.0433,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.5522788206754163,0.3814814820541837,0.5295629826098163,0.5770308129173238,714,778,,0.01945,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.7607843139131103,0.6139240511216151,0.7760000003584,0.7461538465443787,650,625,,0.015625,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,73841ef8-5218-4d03-a2dd-72c84ac34fb4,2.398081529021387e-09,2.398081529021387e-09,1.0,2.398081529021387e-09,417,0,,0.0,False,True,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,0.3485025284525467,0.2110221388549118,0.2114204817312787,0.9911504424974548,452,2119,,0.052975,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,ad08f042-2a02-4b28-bc46-4d116b66632a,0.5316265062004419,0.3620512823784352,0.6935166997116732,0.4310134313607976,1638,1018,,0.02545,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,43187285-c9a9-4b94-9e16-c035ddddc1b4,0.3491124264206435,0.211469534615434,0.6797235030421117,0.2348726120741459,1256,434,,0.01085,False,False,False
101622,ConfigB,SimpleUNet,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,5f129616-2b9b-4461-bbe7-ec1442caa9a3,0.8094395281360239,0.6798810706839633,0.7530186610834043,0.8750000001594388,784,911,,0.022775,False,False,False
