Configuración,Umbral,Dice medio,IoU medio,Precisión,Recall,Dice global,IoU global
Configuración B,0.3,0.591,0.4635,0.6779,0.6473,0.6429,0.4737
Configuración C,0.5,0.5902,0.4572,0.6369,0.6568,0.5908,0.4193
