SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall,BestThreshold,Samples,TP,FP,FN,TN,GTArea,PredArea,ProbabilityMean,ProbabilityMax,RunTag,FeatureConfig,ModelName,Modelo,ShortLabel,ModelRunId,ExperimentId,ExperimentOrder,Specificity,FalsePositiveRate,FalseNegativeRate,BalancedAccuracy,MCC,AreaRatio,AbsoluteAreaError,RelativeAreaError,FPBurden,FNBurden,PredictedPositiveFraction,PlumeSizeBin,IsEmptyPrediction,IsNearEmptyPrediction,IsSevereFalseNegative,IsSevereFalsePositive,IsOversegmented,IsUndersegmented,IsSaturatedPrediction,IsAcceptablePrediction,PrimaryQualityCategory
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.3,0.0273,0.9967,624,1154,522,632,102,38744,0.5872,0.4156,0.4523,0.8365,0.3,0.0273,522,632,102,38744,624,1154,0.0273,0.9967,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9839,0.0161,0.1635,0.9102,0.6074,1.8494,530,0.8494,1.0128,0.1635,0.0288,Pequeña,False,False,False,False,False,False,False,True,Aceptable
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.3,0.0364,0.999,1623,1493,1417,76,206,38301,0.9095,0.834,0.9491,0.8731,0.3,0.0364,1417,76,206,38301,1623,1493,0.0364,0.999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.998,0.002,0.1269,0.9355,0.9067,0.9199,130,-0.0801,0.0468,0.1269,0.0373,Grande,False,False,False,False,False,False,False,True,Aceptable
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.3,0.0227,0.9999,1150,945,787,158,363,38692,0.7513,0.6017,0.8328,0.6843,0.3,0.0227,787,158,363,38692,1150,945,0.0227,0.9999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9959,0.0041,0.3157,0.8401,0.7485,0.8217,205,-0.1783,0.1374,0.3157,0.0236,Media,False,False,False,False,False,False,False,True,Aceptable
5da1b659-166e-4285-843d-f71c29baa660,0.3,0.0261,0.9979,636,1077,630,447,6,38917,0.7356,0.5817,0.585,0.9906,0.3,0.0261,630,447,6,38917,636,1077,0.0261,0.9979,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9886,0.0114,0.0094,0.9896,0.7567,1.6934,441,0.6934,0.7028,0.0094,0.0269,Pequeña,False,False,False,False,False,False,False,True,Aceptable
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.3,0.0213,0.9995,413,881,413,468,0,39119,0.6383,0.4688,0.4688,1.0,0.3,0.0213,413,468,0,39119,413,881,0.0213,0.9995,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9882,0.0118,0.0,0.9941,0.6806,2.1332,468,1.1332,1.1332,0.0,0.022,Pequeña,False,False,False,False,False,False,False,False,Otros
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.3,0.0321,0.9999,1319,1328,961,367,358,38314,0.7261,0.57,0.7236,0.7286,0.3,0.0321,961,367,358,38314,1319,1328,0.0321,0.9999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9905,0.0095,0.2714,0.8595,0.7167,1.0068,9,0.0068,0.2782,0.2714,0.0332,Media,False,False,False,False,False,False,False,True,Aceptable
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.3,0.0712,0.9996,1206,2927,1206,1721,0,37073,0.5836,0.412,0.412,1.0,0.3,0.0712,1206,1721,0,37073,1206,2927,0.0712,0.9996,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9556,0.0444,0.0,0.9778,0.6275,2.427,1721,1.427,1.427,0.0,0.0732,Media,False,False,False,False,False,False,False,False,Otros
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.3,0.0364,0.9987,1101,1519,833,686,268,38213,0.6359,0.4661,0.5484,0.7566,0.3,0.0364,833,686,268,38213,1101,1519,0.0364,0.9987,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9824,0.0176,0.2434,0.8695,0.6325,1.3797,418,0.3797,0.6231,0.2434,0.038,Media,False,False,False,False,False,False,False,True,Aceptable
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.3,0.0234,0.9998,1375,965,889,76,486,38549,0.7598,0.6127,0.9212,0.6465,0.3,0.0234,889,76,486,38549,1375,965,0.0234,0.9998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.998,0.002,0.3535,0.8223,0.7654,0.7018,410,-0.2982,0.0553,0.3535,0.0241,Media,False,False,False,False,False,False,False,True,Aceptable
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.3,0.0692,0.9995,2281,2848,2001,847,280,36872,0.7803,0.6397,0.7026,0.8772,0.3,0.0692,2001,847,280,36872,2281,2848,0.0692,0.9995,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9775,0.0225,0.1228,0.9274,0.7708,1.2486,567,0.2486,0.3713,0.1228,0.0712,Grande,False,False,False,False,False,False,False,True,Aceptable
