Configuración,Umbral,Dice medio,IoU medio,Precisión,Recall,Dice global,IoU global
Configuración B,0.3,0.625,0.4956,0.6511,0.693,0.6548,0.4867
Configuración C,0.3,0.6005,0.4686,0.6691,0.6434,0.6026,0.4313
