FigurePath,RunTag,Experiment,ModelName,ModelLabel,FeatureConfig,ConfigLabel,RunId,CaseGroup,SampleId,Country,Date,Location,Threshold,Dice,IoU,Precision,Recall,GTPixels,PredPixels,AreaRatio,TP,FP,FN,PredictedPositiveFraction
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.3352601168877454,0.2013888907375257,0.205673760743088,0.9062500009765624,96,423,4.40625,87,336,9,0.010575
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigB,Configuración B,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.150674068873375,0.0814751294326971,0.0815450651660557,0.9895833334418402,96,1165,12.135416666666666,95,1070,1,0.029125
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.1118229475178666,0.0592227026161488,0.0592227026161488,1.0,96,1621,16.885416666666668,96,1525,0,0.040525
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.4285714301412873,0.2727272752701843,0.2910447787647582,0.812500001953125,96,268,2.7916666666666665,78,190,18,0.0067
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigC,Configuración C,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.1153358687482028,0.0611970416535325,0.0614035094052607,0.9479166672092014,96,1482,15.4375,91,1391,5,0.03705
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigC,Configuración C,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,Algeria,2025-03-14,A_26,0.5,0.0134003366609709,0.0067453642382034,0.0079840339161995,0.0416666766493054,96,501,5.21875,4,497,92,0.012525
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigB,Configuración B,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,3.8940809953683486e-10,3.8940809953683486e-10,4.048582994312314e-10,1.0204081528529781e-08,98,2470,25.20408163265306,0,2470,98,0.06175
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigB,Configuración B,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,5.285412259362888e-10,5.285412259362888e-10,5.574136005811517e-10,1.0204081528529781e-08,98,1794,18.306122448979593,0,1794,98,0.04485
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,6.086427263489697e-10,6.086427263489697e-10,6.472491905195798e-10,1.0204081528529781e-08,98,1545,15.76530612244898,0,1545,98,0.038625
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigB,Configuración B,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,0.015023474640834,0.0075685908195039,0.0078740162362824,0.163265314660558,98,2032,20.73469387755102,16,2016,82,0.0508
