Configuración,Umbral,Dice medio,IoU medio,Precisión,Recall,Dice global,IoU global
Configuración B,0.3,0.6368,0.5082,0.6658,0.7001,0.6779,0.5127
Configuración C,0.3,0.6303,0.5014,0.67,0.6774,0.6759,0.5105
