ModelName,Modelo,SampleId,Fluxrate,FluxrateTH,LogFluxrate,FluxrateBin,FluxrateRelativeUncertainty,FluxrateUncertaintyBin,GTArea,PlumeSizeBin,WindSpeed10m,WindSpeedBin,DeltaDice,DeltaRecall,DeltaPrecision,DeltaFPBurden,DeltaFNBurden,DeltaFalseNegativeRate,DeltaAreaRatio
TransformerUNet,U-Net Transformer,fa2d14b6-1347-4ab2-96e2-8d29c8a144da,3410.346,3.4103,3.5328,Medio,0.3856,Media,1760,Grande,4.49,Medio,-0.3076,-0.5102,-0.0377,-0.3528,0.5102,0.5102,-0.8631
TransformerUNet,U-Net Transformer,cf859ba5-9c8b-4474-ac5f-7bf079dda241,4220.577,4.2206,3.6254,Medio,0.381,Media,1704,Grande,4.2753,Medio,-0.0136,-0.115,0.0966,-0.1062,0.115,0.115,-0.2212
TransformerUNet,U-Net Transformer,d75642d6-aac3-4dea-a85e-875f1ad769f5,4897.704,4.8977,3.69,Medio,0.3851,Media,960,Media,4.4762,Medio,0.3002,-0.0771,0.4723,-1.4437,0.0771,0.0771,-1.5208
TransformerUNet,U-Net Transformer,ea90fc30-428a-4c09-a7eb-aac47d75acd8,1361.0846,1.3611,3.1339,Bajo,0.338,Baja,95,Pequeña,2.7741,Bajo,0.1113,0.0,0.0793,-2.1895,0.0,0.0,-2.1895
TransformerUNet,U-Net Transformer,c20b29af-0b44-4581-a067-99c6cce34a0c,11640.937,11.6409,4.066,Alto,0.294,Baja,5529,Grande,1.9276,Bajo,0.0046,0.0081,-0.0181,0.0083,-0.0081,-0.0081,0.0165
TransformerUNet,U-Net Transformer,93417c6e-d7e0-4db5-b266-eb4fe766bd63,1877.3667,1.8774,3.2735,Bajo,0.2356,Baja,1422,Grande,1.1966,Bajo,-0.0053,0.0049,-0.0307,0.0675,-0.0049,-0.0049,0.0724
TransformerUNet,U-Net Transformer,fe2500ad-d652-43e2-af21-e51f538176d3,4989.971,4.99,3.6981,Medio,0.4231,Alta,508,Pequeña,7.2425,Alto,-0.0168,-0.1024,0.0073,-0.2283,0.1024,0.1024,-0.3307
TransformerUNet,U-Net Transformer,6767ad0c-e6b9-4bdb-928d-f7a1e6d4ec09,4658.005,4.658,3.6682,Medio,0.3458,Media,791,Media,3.0158,Medio,0.3756,0.2491,0.7636,-0.976,-0.2491,-0.2491,-0.7269
TransformerUNet,U-Net Transformer,a6032970-a58f-410d-94d8-1cb5815c121b,1493.8345,1.4938,3.1743,Bajo,0.366,Media,563,Pequeña,3.553,Medio,0.0234,0.0551,0.0045,0.0266,-0.0551,-0.0551,0.0817
TransformerUNet,U-Net Transformer,eb71d10f-7799-42fc-bfe5-1aad3b589610,996.6621,0.9967,2.9985,Bajo,0.3535,Media,813,Media,3.1117,Medio,-0.0305,-0.091,0.0388,-0.0603,0.091,0.091,-0.1513
TransformerUNet,U-Net Transformer,6bdcd4f0-121b-48ff-9416-a632c5e80296,7910.6543,7.9107,3.8982,Alto,0.2761,Baja,5302,Grande,1.6684,Bajo,-0.0931,-0.112,0.0168,-0.0119,0.112,0.112,-0.1239
TransformerUNet,U-Net Transformer,a748bebf-f1d0-4ac5-9dde-269d90649715,4723.59,4.7236,3.6743,Medio,0.3508,Media,598,Pequeña,3.1615,Medio,-0.1707,0.0201,-0.2449,0.6003,-0.0201,-0.0201,0.6204
TransformerUNet,U-Net Transformer,fffb9698-a9ea-4a96-a61d-7f1c1d0ba295,6480.6826,6.4807,3.8116,Alto,0.2096,Baja,3207,Grande,0.9745,Bajo,-0.0422,-0.1032,0.043,-0.0415,0.1032,0.1032,-0.1447
TransformerUNet,U-Net Transformer,2a1e993d-1ef2-48dd-829f-7b214b53549d,7507.906,7.5079,3.8755,Alto,0.384,Media,2206,Grande,4.4573,Medio,-0.1247,-0.2031,-0.0519,0.0172,0.2031,0.2031,-0.1859
TransformerUNet,U-Net Transformer,4af18862-770f-4e5a-a7dc-a14db931a759,13264.152,13.2642,4.1227,Alto,0.3374,Baja,3002,Grande,2.7812,Bajo,-0.0194,-0.0177,-0.0215,0.0183,0.0177,0.0177,0.0007
