Configuración,Umbral,Dice medio,IoU medio,Precisión,Recall,Dice global,IoU global
Configuración B,0.6,0.6158,0.4889,0.6657,0.6617,0.6657,0.4989
Configuración C,0.3,0.6122,0.4861,0.6968,0.6379,0.6363,0.4666
