SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.3,0.023218367248773575,0.9994309544563293,756,940,735,205,21,39039,0.8667452830974379,0.7648283040948717,0.7819148938490267,0.9722222222589653
365a3850-e629-476a-83cf-dc4ef3355295,0.3,0.008593210950493813,0.9943916201591492,96,336,60,276,36,39628,0.2777777794495885,0.16129032483524106,0.17857143101615644,0.62500000390625
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.3,0.012658585794270039,0.9993436932563782,560,520,267,253,293,39187,0.4944444449125514,0.32841328495890126,0.5134615393971893,0.4767857152200255
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.3,0.011958559043705463,0.999237060546875,731,504,499,5,232,39264,0.8080971661472897,0.6779891308722974,0.9900793650990489,0.6826265394218515
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.3,0.015344364568591118,0.9998112320899963,531,627,429,198,102,39271,0.7409326427107662,0.5884773668196469,0.684210526819441,0.8079096048815262
04547b46-ef41-4254-b553-a11f16acbd40,0.3,0.02645815722644329,0.9980072379112244,997,1091,782,309,215,38694,0.7490421457140604,0.5987748854526991,0.7167736024594191,0.7843530593938284
b9df4252-d935-4884-a61e-84e58a75769b,0.3,0.025775322690606117,0.9998914003372192,2622,1062,962,100,1660,37278,0.5222584148962383,0.3534166056747184,0.9058380415199264,0.36689549986007036
a833f58b-77e2-4984-9119-f3437717bb17,0.3,0.015086433850228786,0.996707558631897,428,621,370,251,58,39321,0.7054337467059735,0.5449189991974683,0.5958132051597211,0.8644859816250328
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.3,0.026149209588766098,0.9988705515861511,789,1108,660,448,129,38763,0.695835529944209,0.5335489090270421,0.5956678704010218,0.8365019013479064
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.3,0.02359938994050026,0.9997052550315857,254,995,254,741,0,39005,0.40672538077924303,0.25527638265801367,0.25527638265801367,1.0
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.3,0.027265362441539764,0.9966533780097961,624,1154,522,632,102,38744,0.5871766031568186,0.4156050960066838,0.45233968851617007,0.8365384618004191
