Epoch,TrainLoss,TrainDice,TrainIoU,TrainGlobalDice,TrainGlobalIoU,ValLoss,ValDice,ValIoU,ValGlobalDice,ValGlobalIoU
1,1.2535647142243076,0.07388503924963567,0.04304335756658951,0.08505864010341427,0.04677943837009638,1.1788326221885104,0.1893181842187363,0.11332787862611991,0.19807259570525,0.11227008521867295
2,1.1042781989876327,0.18193003726588644,0.10834822218803501,0.19337427590594605,0.10928780639263332,1.1384176061008915,0.03909491037412309,0.022245635317270033,0.04610261081197219,0.024787874013441312
3,0.9842646502248653,0.27301758440066276,0.17818485686628074,0.3102368963640425,0.19047691570836808,1.0783273243542872,0.0329245858682435,0.021405299282483442,0.04649107621762192,0.02588097346719039
4,0.8162289425343662,0.41466417808883954,0.28857367685633145,0.4440358236807024,0.2935625705958719,0.8458494950424541,0.3470086700311213,0.24458930709145285,0.40013371074967313,0.2604629554306016
5,0.7212390068966847,0.45971642546476676,0.3292753389830907,0.49201213062269156,0.3348323928189234,0.7928975707653797,0.37590621092892956,0.2641554847641876,0.4198365124845595,0.2741316464221613
6,0.6766784231287318,0.48028658086272663,0.3478630699002825,0.5078565272710777,0.349473157166094,0.9320830655368891,0.22733492529424654,0.15572063853291424,0.2610303309838546,0.15934771721692603
7,0.6400016229357812,0.5052812286930812,0.3724645737909361,0.5319711126072647,0.37251614092232344,0.7847478209119855,0.3787896204175371,0.26661762025094393,0.40376931536152505,0.26117954293096607
8,0.6171212049273701,0.5194826986060127,0.3850615855741811,0.5459055758335374,0.385259283234837,0.7553761298909332,0.4160501437656807,0.2974328367096005,0.43246053424522735,0.28418059683771746
9,0.604466524604079,0.526764059015973,0.3932124232153662,0.5549154779269033,0.3947973278768409,0.817053780411229,0.42728666233068163,0.3089785785273169,0.3965332842234409,0.2601632232015783
10,0.5886501937185402,0.5397767119303152,0.40639515275546867,0.5687047137165224,0.40843986598895743,0.744252449183753,0.43200645099083584,0.32202781683229137,0.4401117825429096,0.2957205562146776
11,0.583658802286758,0.5423110977016304,0.40886153128374575,0.5684217993752477,0.4086312578598721,0.6888100362636826,0.4772961955856193,0.3487372953783382,0.48522155003791506,0.32976478132221737
12,0.5672386634804598,0.5553760813283068,0.42085860531728764,0.5826212319533353,0.42054122035669816,0.8708769019806024,0.2938269049380765,0.20215352694503963,0.325286510146477,0.20159412725743922
13,0.5562976717755392,0.564373745728139,0.4305734105662189,0.5889212709621756,0.4288712935219821,0.7891181526762067,0.3859317885768233,0.2707970706237988,0.39896944780467136,0.2568924864189643
14,0.5418170211570603,0.5764591587199406,0.4414444502636597,0.60155352012726,0.440613400172926,0.8621779158711433,0.3026242000306333,0.2132677366281236,0.3451016580316469,0.21722866510381747
15,0.5389761599627408,0.5781945058616338,0.4432403031712422,0.6028545949027523,0.442464077131605,0.6487484958135721,0.49680825424465264,0.3724498079355919,0.5149880091687946,0.3588758866218003
16,0.5301654237237844,0.585372680259941,0.4507169788521896,0.6082668115759825,0.4493523549240131,0.80895289891597,0.3993071287193082,0.27853907424617896,0.3682272525673563,0.23257463995480177
17,0.5222542310109386,0.5928260452996987,0.4576485873647518,0.6121782059841728,0.4523978660173424,0.7769357381444989,0.3891169514902162,0.2753476978307872,0.4071460396728732,0.2633619122207165
18,0.5202638782415684,0.5929064785263368,0.45714390393975496,0.6153794814675272,0.45552256364714017,0.6922615504626072,0.4639454364325061,0.3397197997705503,0.4831198444307754,0.32845444584999123
19,0.5019889492057747,0.6078122263508183,0.47319669945334847,0.6298324860777561,0.47146053505795343,0.753484372614008,0.42054440340760985,0.2991650715244539,0.43394165034546994,0.2856839975680817
20,0.49302746026546923,0.6142229294622099,0.47962441431455216,0.6390520500672328,0.48102964609014714,0.8436734461874673,0.33477429532671743,0.23382383537880908,0.3557912919169405,0.22452104779200233
21,0.48272643927726655,0.6217329788033839,0.48804252691470185,0.6452164465150276,0.4876716362385007,0.6680236397819086,0.48439423751198885,0.35471158892367827,0.49070767860746745,0.33468682629366714
22,0.47951617002390423,0.6256672123616392,0.4910258071787365,0.6466083371552167,0.48912868259305303,0.6350990750572898,0.5211193419315598,0.39569265045451396,0.5395157520631046,0.38443899414304533
23,0.4664427068616663,0.6367060902298658,0.5024384321499761,0.6579477570031758,0.5007046602617997,0.6327755410562862,0.5101069568684606,0.38734602160526044,0.5376754723715059,0.3804197956553914
24,0.45998003689402883,0.6414294757626273,0.5070922270465594,0.662783690595201,0.5062512615453694,0.7017746113918044,0.4472162779702833,0.33341769629976514,0.4872208498418331,0.3322940676501303
25,0.4535817808241813,0.6456433976093283,0.5118114199162788,0.6674996948885646,0.5120421455592498,0.643772599597772,0.5008751214905218,0.3732618981351455,0.5285578941305479,0.3685328121663946
26,0.44447166257380666,0.6529582766453167,0.5188637001609261,0.6752696161871994,0.5197479336631375,0.7937562483729739,0.3789345058189197,0.26823355590529513,0.4038028015444676,0.2613396562184348
27,0.43430008819060667,0.661239409891816,0.5282396976412698,0.6806071190429586,0.5258808702520736,0.5959901043185682,0.5377141346759868,0.4143814261664044,0.5564584005624056,0.4021278569813479
