SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.5,0.02564866654574871,0.9996044039726257,756,970,624,346,132,38898,0.7230590963365823,0.5662431945859862,0.643298969439898,0.8253968256277819
365a3850-e629-476a-83cf-dc4ef3355295,0.5,0.012243243865668774,0.9978261590003967,96,441,0,441,96,39463,1.8621973894558707e-09,1.8621973894558707e-09,2.267573691003234e-09,1.0416666558159723e-08
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.5,0.01962127722799778,0.9997920393943787,560,769,420,349,140,39091,0.6320541763490939,0.4620462052122704,0.5461638497449105,0.7500000004464286
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.5,0.0094766179099679,0.9977561831474304,731,363,258,105,473,39164,0.4716636202269985,0.3086124410184062,0.7107438024497416,0.35294117735575764
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.5,0.014023742638528347,0.9997549653053284,531,552,449,103,82,39366,0.8291782088373238,0.7082018932047289,0.8134057974394823,0.8455743882380896
04547b46-ef41-4254-b553-a11f16acbd40,0.5,0.018951039761304855,0.9992949962615967,997,742,616,126,381,38877,0.708453134152701,0.5485307216843003,0.8301886794741392,0.6178535610653425
b9df4252-d935-4884-a61e-84e58a75769b,0.5,0.031156133860349655,0.9993999004364014,2622,1239,1201,38,1421,37340,0.6221186222164935,0.4515037596046979,0.969330104948079,0.45804729235009645
a833f58b-77e2-4984-9119-f3437717bb17,0.5,0.009528170339763165,0.9998496770858765,428,366,321,45,107,39527,0.8085642319791383,0.6786469351402813,0.8770491806638,0.7500000005841121
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.5,0.013302174396812916,0.9997028708457947,789,516,455,61,334,39150,0.6973180078947754,0.5352941181937716,0.881782945965537,0.5766793414744241
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.5,0.009358766488730907,0.9997902512550354,254,368,239,129,15,39617,0.768488746352912,0.6240208887101282,0.6494565226916942,0.9409448821222642
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.5,0.06385108828544617,0.99817955493927,624,2493,605,1888,19,37488,0.3881937762630113,0.24084394934679781,0.24267950291107923,0.9695512821000781
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.5,0.030308501794934273,0.9991728663444519,1623,1193,1162,31,461,38346,0.8252840909711349,0.7025392988497344,0.9740150880351928,0.7159581024547393
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.5,0.01361385639756918,0.999896764755249,1150,528,496,32,654,38818,0.5911799764057329,0.4196277500679968,0.9393939395087236,0.4313043483206049
5da1b659-166e-4285-843d-f71c29baa660,0.5,0.024377333000302315,0.9994848966598511,636,959,631,328,5,39036,0.7912225706638103,0.6545643157110329,0.6579770597935588,0.9921383647922353
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.5,0.013887721113860607,0.9990542531013489,413,540,298,242,115,39345,0.6253934946218327,0.45496183289318803,0.5518518526817559,0.7215496374780881
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.5,0.05038250610232353,0.9994208812713623,1319,1985,1286,699,33,37982,0.7784503632631808,0.6372646186138431,0.6478589422428922,0.974981046266125
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.5,0.03373527526855469,0.9986936450004578,1206,1321,1067,254,139,38540,0.8444796201644322,0.7308219179925878,0.8077214233098249,0.8847429520027007
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.5,0.025234751403331757,0.9990159273147583,1101,971,449,522,652,38377,0.4333976836711401,0.2766481828239999,0.4624098872683729,0.40781108137346855
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.5,0.02692962996661663,0.9996280670166016,1375,1064,1034,30,341,38595,0.8478884789471551,0.7359430606861616,0.971804511304695,0.7520000001803636
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.5,0.05956849455833435,0.9990240335464478,2281,2372,1861,511,420,37208,0.7999140339995886,0.6665472780563944,0.7845699832274158,0.8158702324349539
67756e67-f943-4f44-a748-c0ac2d86403e,0.5,0.04108113795518875,0.9993166923522949,3059,1637,1527,110,1532,36831,0.6503407155770142,0.481855475076726,0.9328039096317631,0.4991827396210583
789c743e-c04a-4aad-b156-67f965c09105,0.5,0.029907451942563057,0.9998290538787842,967,1179,949,230,18,38803,0.8844361603520802,0.7928153719358266,0.8049194234054966,0.9813857290781947
7f4bf604-90fe-431f-8812-9496e3ef716a,0.5,0.022328626364469528,0.9999136924743652,625,885,559,326,66,39049,0.7403973511652998,0.5878023137877999,0.6316384184953239,0.89440000016896
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.5,0.017217176035046577,0.6603758931159973,368,61,7,54,361,39578,0.03263403488896495,0.01658768005547943,0.1147541128728834,0.01902174179613657
