EvalThreshold,FeatureConfig,ModelName,RunName,RunId,ModelRunId,Split,Checkpoint,Samples,InputChannels,MeanDice,MeanIoU,MeanPrecision,MeanRecall,GlobalDice,GlobalIoU,GlobalPrecision,GlobalRecall,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels
0.3,ConfigB,SimpleUNet,Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestModel.pt,528,9,0.590955112778248,0.463502826719897,0.6778528552597515,0.6472505124344381,0.6428560474335733,0.4736830210371455,0.6800458573852638,0.6095229390582176,722109,647224,440142,207082,281967
0.4,ConfigB,SimpleUNet,Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestModel.pt,528,9,0.5908190498273765,0.4638547379859982,0.68711871323035,0.6397744414753536,0.6422541417187866,0.473029718928558,0.6888950565402299,0.6015283011296058,722109,630530,434369,196161,287740
0.5,ConfigB,SimpleUNet,Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestModel.pt,528,9,0.5906956448526136,0.4642021661257152,0.6961952975454317,0.6332470479205763,0.6416231274138569,0.4723454443041997,0.6967947583941871,0.5945473605790891,722109,616147,429328,186819,292781
0.6,ConfigB,SimpleUNet,Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestModel.pt,528,9,0.58980502483114,0.4637159272305672,0.7029355355939024,0.6260966313805298,0.6403712857827577,0.4709898217704442,0.7044304439090671,0.5869917145478217,722109,601723,423872,177851,298237
0.7,ConfigB,SimpleUNet,Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestModel.pt,528,9,0.588583721304287,0.4628375335754336,0.7108622827491985,0.6173715338627244,0.638551238615342,0.4690233350877719,0.7136832993476822,0.5777313397290745,722109,584552,417185,167367,304924
