Epoch,TrainLoss,TrainDice,TrainIoU,TrainGlobalDice,TrainGlobalIoU,ValLoss,ValDice,ValIoU,ValGlobalDice,ValGlobalIoU
1,1.0214342743932427,0.167874723267486,0.10159319091481635,0.1762514541214617,0.1015238318893967,0.93610708054268,0.21380171370823145,0.14026304063320255,0.2436078073012367,0.1446849346817026
2,0.7585626588045776,0.4013029840811119,0.277702065592922,0.42365591131852237,0.2771212443733564,0.8090377316781969,0.3480694104606907,0.24673611377224777,0.39553871762120363,0.2548984899891145
3,0.6732826655754796,0.46929965123485823,0.33689776414932754,0.4970041342297351,0.33934648931268363,0.7007106630639597,0.44387651404196565,0.325641832229766,0.4850698842695265,0.32966787283393467
4,0.6368549519351551,0.49781979308403157,0.3637848299589347,0.5208579877984117,0.36238320705831634,0.7671736600724134,0.37945588345103193,0.2700311431491917,0.41053996099667117,0.2680750305228161
5,0.6071365921238026,0.5225582993407916,0.38699686941509315,0.5466641553907425,0.38572263389269446,0.6867532996517239,0.4626965516557296,0.33128383727462,0.4889994790834008,0.33164472290963837
6,0.5925041438116656,0.5330873261290517,0.3977794568538182,0.5576814329130696,0.39746361954573106,0.8607176822243314,0.27854901011941247,0.1952759402392717,0.31397114053911046,0.19573952611542048
7,0.5671648110275145,0.5544319844792609,0.41682114468452025,0.5750337926453197,0.41448816052311427,0.6213110705668276,0.5060798193920742,0.38296750966798176,0.5456230105324225,0.38580874946307053
8,0.5566881716541656,0.5626109746200118,0.4268904084267167,0.5845936934354824,0.42432679898141845,0.7886928667624792,0.36629909862485,0.26493363996893105,0.4246091273287132,0.28074719958224265
9,0.5493278500998949,0.5691068495902444,0.433938402533822,0.5920460736202169,0.4317411825355695,0.6216815816182079,0.5106214774828969,0.38451788252727553,0.5411613590338014,0.3816200894952724
10,0.5379140649910097,0.5775895446974348,0.44235730154270475,0.5999276643957604,0.4400136966935613,0.6194617417499875,0.5138676544707833,0.38989198665049946,0.5470599423755299,0.38769962108044914
11,0.5175851288602337,0.5930319318378513,0.4575475328843799,0.6140883997953558,0.45495506123240503,0.8292467747673844,0.33522802372566723,0.2421284840212722,0.3819976901600595,0.24728618191600923
12,0.5117298110642217,0.5979897778771528,0.4629236457313036,0.6201293923251041,0.46112213520841167,0.6166031615752162,0.5087884905268297,0.3877993113304855,0.5511399484945066,0.39195167634523276
13,0.5031269901468383,0.6042133447617389,0.4690416296112484,0.6223781858994202,0.464335419957272,0.562920108211763,0.5501291474158113,0.4250303782296903,0.5832942150758974,0.42373623608639743
14,0.4909353382014609,0.6138022505956424,0.4787161216841309,0.6327357174369035,0.47401694253135424,0.806002729769909,0.3448065882345845,0.2511940214330521,0.38965507934247423,0.25519868223769165
15,0.47901347961712193,0.6236232269023146,0.48835988253258267,0.6385306214502493,0.4810689599253237,0.6676679842851378,0.46698159944604745,0.3472948409052509,0.49346686058649514,0.33928168517057644
16,0.4696797787078789,0.6311012085636037,0.49731508463729995,0.6496603788759607,0.49245560104511193,0.5415236866383841,0.5721546702764251,0.4414396387609569,0.5979377814766133,0.4373068954005386
17,0.4565595860847018,0.6408632495259117,0.5063930052006013,0.6584959099940085,0.5023335934398914,0.53780503593611,0.5798004894997134,0.4540698478619258,0.6050008150438467,0.44614382014807424
18,0.4482271292234783,0.6477771739826187,0.5138711210630544,0.6645217481032981,0.5092010787845432,0.5483064735026071,0.5655128382372133,0.4391483691605655,0.5826389623636549,0.4230547421470736
19,0.4402757144787095,0.6546734697729736,0.5210263245775328,0.6712224309078672,0.5162372958374681,0.6130237030712041,0.5188165923411195,0.39251875550006377,0.5502489494780699,0.3912379904791261
20,0.4290535284278842,0.6634571658471575,0.5306993536651134,0.677206068456947,0.5244511663308972,0.6766606605414188,0.47811357976134977,0.3584635452169812,0.49696595853928366,0.34391341287868493
21,0.4178729632796792,0.6724372956079322,0.5402361699198555,0.6868701093503601,0.5348049315454607,0.8878067749919314,0.31347720366017695,0.2225071995839824,0.3392587227620475,0.2145377861138949
22,0.41279518137407767,0.676968109177111,0.5443930413041796,0.6905218803795514,0.538978510729775,0.5398609674338138,0.5799379071051424,0.45469302582469856,0.6045752191972552,0.44687086352231825
23,0.4023421746618175,0.6847609065763363,0.5534983511119114,0.7006449672550737,0.5506223029541698,0.5543334101411429,0.5823897303956928,0.45475600592114707,0.6050960107170271,0.44838141000857856
24,0.38751899129287765,0.696365798521158,0.5657337323169817,0.7132709763653866,0.5659030685806042,0.614422429014336,0.5092121362686157,0.3861952937687888,0.5331679782406851,0.37319699025741127
