SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.7,0.026314102113246918,0.9988464117050171,756,968,706,262,50,38982,0.819025522146737,0.6935166997116732,0.7293388432548152,0.9338624339499174
365a3850-e629-476a-83cf-dc4ef3355295,0.7,0.04091046378016472,0.9986969828605652,96,1516,95,1421,1,38483,0.11786600551000867,0.06262359982687962,0.06266490827000995,0.9895833334418402
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.7,0.017286762595176697,0.9997900128364563,560,669,393,276,167,39164,0.6395443452892234,0.47009569441376114,0.5874439468050165,0.7017857148182398
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.7,0.015048139728605747,0.9999022483825684,731,566,524,42,207,39227,0.8080185043885748,0.6778783962770007,0.9257950531346377,0.7168262657772555
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.7,0.016695888713002205,0.998956561088562,531,571,404,167,127,39302,0.7332123414399161,0.5787965622080279,0.707530648498195,0.7608286256858218
04547b46-ef41-4254-b553-a11f16acbd40,0.7,0.02453702874481678,0.9995846152305603,997,941,739,202,258,38801,0.7626418989872848,0.6163469561164745,0.7853347504937994,0.7412236712725941
b9df4252-d935-4884-a61e-84e58a75769b,0.7,0.025810690596699715,0.9999911785125732,2622,972,907,65,1715,37313,0.5047301058695799,0.33755117255766615,0.9331275720852596,0.3459191459397715
a833f58b-77e2-4984-9119-f3437717bb17,0.7,0.023164723068475723,0.9997875094413757,428,877,396,481,32,39091,0.6068965520253665,0.4356435649772898,0.4515393392798867,0.9252336450345008
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.7,0.0381501205265522,0.9997496008872986,789,1396,575,821,214,38390,0.5263157896904734,0.35714285754214725,0.41189111789979144,0.7287705960345113
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.7,0.029734311625361443,0.9999786615371704,254,1040,254,786,0,38960,0.39258114420975176,0.2442307699574704,0.2442307699574704,1.0
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.7,0.02215396985411644,0.9992874264717102,624,628,414,214,210,39162,0.6613418533056374,0.4940334134916069,0.6592356693324273,0.6634615390008629
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.7,0.03448593616485596,0.9995812773704529,1623,1326,1228,98,395,38279,0.8328246863910395,0.7135386404918428,0.9260935143845449,0.7566235368104599
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.7,0.020839551463723183,0.9999650716781616,1150,773,701,72,449,38778,0.7290691629074003,0.5736497548497137,0.9068564037427472,0.6095652177308128
5da1b659-166e-4285-843d-f71c29baa660,0.7,0.01974325440824032,0.9978062510490417,636,660,434,226,202,39138,0.6697530866745732,0.5034802789982827,0.6575757580945821,0.6823899376063052
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.7,0.021302809938788414,0.9996142387390137,413,821,397,424,16,39163,0.6434359808400032,0.47431302332818037,0.48355663887508327,0.9612590799969514
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.7,0.0005933383363299072,0.14263954758644104,1319,0,0,0,1319,38681,7.581501131477254e-10,7.581501131477254e-10,1.0,7.581501131477254e-10
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.7,0.06866125017404556,0.9991466999053955,1206,2413,1199,1214,7,37580,0.6626139818561443,0.4954545456630354,0.49689183609743404,0.9941956882303519
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.7,0.026600833982229233,0.999247670173645,1101,975,709,266,392,38633,0.6830443161449691,0.5186539871845983,0.727179487459303,0.6439600366539872
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.7,0.02002720907330513,0.9996234178543091,1375,761,743,18,632,38607,0.6956928840375971,0.5333811920076229,0.9763469119890317,0.5403636366979173
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.7,0.05974966287612915,0.9996746778488159,2281,2347,1882,465,399,37254,0.8133102852607367,0.6853605245137071,0.8018747337870156,0.8250767208132063
67756e67-f943-4f44-a748-c0ac2d86403e,0.7,0.05466364696621895,0.9996342658996582,3059,2112,1946,166,1113,36775,0.752659060190938,0.6034108528361517,0.9214015151887305,0.636155606526265
789c743e-c04a-4aad-b156-67f965c09105,0.7,0.02709721401333809,0.9998179078102112,967,1048,920,128,47,38905,0.913151364807369,0.8401826485477784,0.8778625955363906,0.9513960703708417
7f4bf604-90fe-431f-8812-9496e3ef716a,0.7,0.02540411800146103,0.9987289309501648,625,952,444,508,181,38867,0.5630944834729902,0.391879965232233,0.46638655518236705,0.71040000046336
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.7,0.020552488043904305,0.9967233538627625,368,716,304,412,64,39220,0.5608856092611756,0.38974359052596974,0.42458100639025,0.8260869569943289
c18da7a8-eed2-49db-b6d8-9d0bcb91013b,0.7,0.013829533010721207,0.9823075532913208,1162,442,0,442,1162,38396,6.23441396120049e-10,6.23441396120049e-10,2.262443433795377e-09,8.605851971939885e-10
3986fd15-5303-4fa6-930b-7f2c8e31daea,0.7,0.02566172182559967,0.9992745518684387,1581,885,730,155,851,38264,0.5920519060859482,0.42050691277620567,0.8248587572600466,0.4617330806693655
0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.7,0.05334927514195442,0.9998012185096741,3536,2012,1918,94,1618,36370,0.6914203317066654,0.5283746557773074,0.9532803181146718,0.5424208146090439
f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.7,0.02231515385210514,0.999914288520813,714,852,563,289,151,38997,0.7190293743812073,0.5613160522818385,0.660798122463852,0.7885154064586619
9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.7,0.03151910379528999,0.9993537068367004,650,1200,623,577,27,38773,0.6735135136899927,0.5077424616888814,0.519166667067361,0.9584615385254438
