RunTag,FeatureConfig,Split,Samples,OriginalSplitSamples,Channels,Height,Width,FeaturePath,MaskPath,FeatureName,ClipValue,AnyNonFinite,MaskPositivePixels
101622,ConfigC,Train,2463,2463,12,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/TrainFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/TrainMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11, WindSpeed10m, WindDirCos10m, WindDirSin10m",8.0,False,3131571
101622,ConfigC,Validation,528,528,12,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/ValidationFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/ValidationMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11, WindSpeed10m, WindDirCos10m, WindDirSin10m",8.0,False,655526
101622,ConfigC,Test,528,528,12,200,200,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/TestFeatures.npy,/data/users/kabasmen/MethaneProjectTFM/Outputs/Experiments/101622/ConfigC/Features/TestMasks.npy,"B8A, B11, B12, NDSWIR, RatioB12B11, RatioB12B8A, MBMP, MBMPPlus, DualEnhancementB12B11, WindSpeed10m, WindDirCos10m, WindDirSin10m",8.0,False,722109
