Epoch,TrainLoss,TrainDice,TrainIoU,TrainGlobalDice,TrainGlobalIoU,ValLoss,ValDice,ValIoU,ValGlobalDice,ValGlobalIoU
1,1.240455235076415,0.2197313448946768,0.1447395198665711,0.2460688917701626,0.15276292925468665,1.1318502146186251,0.22699253388393215,0.1534431343844929,0.2638672862820953,0.1601802726887306
2,0.9853066950068845,0.4348023536159286,0.30654739739408565,0.46092289334433006,0.3087372247490724,0.9791860526258295,0.36465506131450337,0.250668827162096,0.38385159454562445,0.2451746967818701
3,0.816311281996888,0.48350303452799165,0.35171897284594394,0.5062765974232833,0.3509088677761257,0.7501850787437323,0.4849828870007486,0.3578058975664052,0.5204118161716245,0.36128233706183505
4,0.7060586891874865,0.5064459502361249,0.37464104230354367,0.5312426757082297,0.3730962294897453,0.7956232839461529,0.4009498434536385,0.28465036331026844,0.43356789659821626,0.28493411946251535
5,0.6422003274904443,0.5247277451388828,0.39280407273440393,0.5527453268333883,0.3934359818866307,0.7448274355494615,0.418305916993907,0.30088035282537795,0.43919614736329426,0.29249494277279486
6,0.6027091379676547,0.541541200264224,0.409843664326064,0.5660195171518566,0.405836758853916,0.5946449122645638,0.537140315906568,0.4083547097715465,0.5710808281419855,0.4104636985469948
7,0.5728306102675277,0.5566464568671746,0.42430241370392385,0.5834455554553839,0.4237456229169136,0.6153058177142432,0.5190106016216856,0.38973539875763835,0.5500767700599901,0.38882995154144184
8,0.5547234349001151,0.5680536991348127,0.436002573702944,0.5943743853751183,0.43508199126272185,0.7693747148820849,0.3882345402556838,0.27400864824426896,0.4173369747445439,0.27147531644864514
9,0.5367383088723019,0.5821953347896214,0.44975253103857304,0.6020215672331971,0.44263928841993017,0.6208471658103394,0.5084301155399192,0.3824652317121173,0.5448978964352247,0.38583989960677695
10,0.524541095455552,0.5899982352728967,0.4570086815034632,0.615601688922782,0.4567461393277657,0.900437341720769,0.2831210187128322,0.19676430562906194,0.3262151489316514,0.20280813441301385
11,0.5173164319924333,0.5947153323100178,0.46195873264949044,0.6157715123316104,0.45781046246456636,0.609446968318838,0.5267430630822977,0.39194340134660405,0.5476319971635486,0.38644491164295963
12,0.5076453523928082,0.6021045137737665,0.469750050468297,0.6242970550894137,0.46826921232884383,0.7109181919332707,0.441108586774631,0.3218420617508166,0.4690446617702643,0.31543213157265476
13,0.49669814939525997,0.6123124167758536,0.4789488406537415,0.6334025463113537,0.47541690200518866,0.7396869413328894,0.4102515696801923,0.2992757859385826,0.44653908174597856,0.2985323518796852
14,0.4886747003811133,0.6185181283138015,0.48447157047060013,0.6377537460610657,0.4809269712778268,0.567203512923284,0.5521891907309041,0.42378084101911745,0.597555161312674,0.43651096432498004
15,0.47779574951568204,0.6265896221429303,0.493894303556193,0.6475368314845995,0.4904622487820588,0.6329943573836124,0.5086249302734028,0.38034694133834407,0.5306138535114852,0.37137738056480885
16,0.47096612885013805,0.6312697935099532,0.49893832474632505,0.6516593656345427,0.4954942369035312,0.615576366357731,0.5149765018035065,0.39204059377538436,0.5584601088229454,0.4002761280897892
17,0.46024289562717663,0.6414025907537767,0.5085233603059859,0.6604728140299777,0.5047728113479332,0.5609217798619559,0.5570897401282282,0.4340201908666076,0.5972673717999097,0.4389794148278959
18,0.44827351261946285,0.6498363819215205,0.517796658910811,0.6659241914265341,0.5107389458684952,0.6831219778819517,0.4571986153270259,0.3382350436665795,0.48899802452687063,0.3336196549688325
19,0.440051938032175,0.6569382024977308,0.5257965147362224,0.6773214730276883,0.5255717028827442,0.630568649281155,0.5098846405744553,0.3832215182483196,0.5420790342896273,0.3836159304235921
20,0.4283781493106833,0.6658484808520063,0.5360259407187824,0.6849425492155088,0.5337773990611752,0.5758451699759021,0.5473636825653639,0.4231904148491043,0.5973375310387575,0.43785680342239863
21,0.42611492042998217,0.6672077827494253,0.5376397898638403,0.6874249740443253,0.5366333993151784,0.5723366519492684,0.5532466773733948,0.42363239632862987,0.5857418132099238,0.424347275924502
22,0.41227967679113536,0.6779573832626467,0.5481416112138563,0.6975538015921975,0.5477925655008717,0.7118638981923913,0.4484864223861333,0.32304332235997374,0.4733882360160351,0.317786005974719
23,0.40223527443292856,0.686579980935853,0.5571469848116787,0.7033058770436358,0.5544365410414802,0.5770882092642061,0.5531148120309367,0.4235373211629463,0.5844190364534204,0.4234597617478082
24,0.40264474443317233,0.6845647328375996,0.5546753366368932,0.7066008064218543,0.5567713093810848,0.5766672823916782,0.5573105059112563,0.4280877562634873,0.5921456871384924,0.43106736028284737
25,0.38151375484931005,0.7012762477161822,0.5741613628221797,0.7221836843951182,0.576794088146855,0.5586214930270658,0.5675276927649975,0.44321432517785014,0.6029367283212416,0.4445648603141308
26,0.3953466345979409,0.6908902113700842,0.5642522864721038,0.7102547816859631,0.5644108883117314,0.5476967464342262,0.5733432799126162,0.4478023669710665,0.6161242587999864,0.45578407846165425
27,0.37290450362125777,0.7096351366490126,0.5837355832291113,0.7276511628954828,0.5849392410827341,0.7363891371271827,0.433680091730573,0.32259243523532694,0.479435452796293,0.3277654582916787
28,0.3584502818087092,0.7204933864632984,0.5946637004638067,0.7382385046644644,0.5969681814191984,0.7071586899233587,0.4543542882258242,0.3351352480099057,0.48664617357832013,0.33344406160441314
29,0.36387097885130676,0.7161715669775164,0.5905615745305821,0.7349929700472525,0.5932613285500314,0.7511291558092291,0.424549137891242,0.31017057885500515,0.45374605386997713,0.3042931847387191
30,0.34302939897911117,0.7326727986542803,0.6097845243932538,0.7521054566682892,0.6138484050074526,0.645060127205921,0.5046034279194745,0.3846198790565585,0.5518532527441328,0.3943466298620809
